	$\tilde{E} \ (10^{49}erg)$	$p$	$\alpha_S$	$\theta_j \ (deg)$	$\Delta\theta \ (deg)$	$n \ (10^{-4}cm^{-3})$	$\epsilon_e \ (10^{-1}) $	$\epsilon_B\ (10^{-4})$	$E_{off} \ (10^{49}erg)$
0	4.990511451790973	2.2375179894515203	2.2291711691565426	3.4541541108244465	16.18878156898217	0.8391746115236433	0.9279008217717581	1.9842645088950694	2.9458866466367923
1	5.04910847522124	2.238989961474897	2.154659231525569	3.4508775065452695	16.28630515125645	0.8119132965401858	0.8645539942886509	1.894883411454177	2.950062292947833
2	5.045503014412701	2.229094788097537	2.1336580509360625	3.451794467171882	16.12829930400021	0.9025884415004969	0.8893745689977274	1.8912574872942542	2.9480305237783013
3	5.055163854674712	2.1846258020573703	2.1928581307750283	2.5277617293576182	15.87931019811505	0.9744531955454249	1.183399329108299	2.079066321824409	3.1145129073470224
4	4.841530337189995	2.1831786897042065	2.2164052084813473	3.4137840813703484	16.0233034502196	0.8422477395943536	0.9038056196953679	1.9084088376342456	2.991650921487797
5	5.078037235160501	2.225839834098818	2.503420143535005	2.585982622970294	15.782195624372678	1.1603718778496932	1.0785596983322772	2.1367230119490483	3.0513844883006236
6	5.024560382507081	2.2006678811406664	2.4523467226246516	2.672832861510832	16.151522257013365	1.159445473034937	1.0516856488986448	2.157361454226478	3.0938731793191856
7	5.018578393246376	2.170071475189307	2.369099911021033	3.4336838195883277	15.795835292539667	0.9800735829391379	1.0550208529143708	2.0521834965659704	3.07631944722848
8	4.908214194844499	2.1232476072861064	2.4691865073123647	2.597860749572368	15.867837028591577	1.0906587974357824	1.0957378114685146	1.913944634836719	3.1380268247913055
9	5.009374799822308	2.2787146068157536	2.224476316080042	3.1163782149423804	15.904373635461118	1.020343767872727	0.861944847197785	1.9816963245668375	2.8705738988416214
10	4.922743941006623	2.1144468479286145	2.153056667069948	3.004217783993925	15.937659808447778	0.8751979701023319	1.1779586379889724	2.0733925573873555	3.11446727992778
11	4.890582834910783	2.134958347999206	2.2787382813868313	2.656201055479196	16.183339553042234	0.9141995208290864	0.857222673935425	2.095660396495198	3.315374021228969
12	5.088810226734389	2.1585079322456298	2.2898648326249806	2.6729014858471936	16.03561095053069	0.9276437205930036	0.800251347786135	1.9768648512409686	3.335727531458602
13	5.019178550399007	2.17589183944686	2.3106596344625197	2.8485565065271334	15.907420281828752	0.9337349229035912	0.8515532459344829	1.9744807243055722	3.2725077595422762
14	5.018782460262549	2.245793008975623	2.222924608892932	2.845635419912331	16.402694605649263	0.9310550541540769	0.9628620352438949	2.075269516166048	2.9934690147971597
15	5.016095682341204	2.181532706959885	2.310382845756254	3.3470334445750374	15.523232240628408	1.1302541717433976	1.0849464409245806	1.9840795093177668	2.9760149846905177
16	4.743454002247016	2.1849453206736826	2.26062798353437	3.14748288396997	15.540157038799327	1.0323209258517756	0.9049207483507299	2.2675596804465887	2.9058633232635622
17	4.8730981496153465	2.30256511724648	2.0674817362643076	2.9134911802604146	15.752474294832114	1.065208762652589	0.9766547445640923	2.0059469748438055	2.938533708675192
18	5.015166914293642	2.2910371074322105	2.172794588925005	2.5239396355679764	16.36066993642882	0.9928746400494881	1.2107804142561176	2.1003919714291945	2.930938104025395
19	4.990875159135339	2.135834696181412	2.388434370832561	3.4292066571968727	15.583678983290762	0.9179639350257027	0.8505654446105426	1.9966321725438199	3.280670068410776
20	5.0313641927758095	2.31178968799059	2.3481098794451976	2.5949627184534876	16.363768464081883	1.0824820460685725	1.1196076503707315	1.9884256335594923	2.795444993636092
