	mean	sd	mc_error	hpd_2.5	hpd_97.5	n_eff	Rhat
$\tilde{E} \ (10^{49}erg)$	5.000319855605746	0.09941643976889752	0.0007334246440313602	4.806464996753872	5.193952657842054	16165.423030511336	0.9999341483830373
$p$	2.2123904179282925	0.05221941330417558	0.0004147686059453628	2.1138993721287904	2.315934991244812	18318.659320106868	0.9999354116312347
$\alpha_S$	2.300238611715858	0.10134738081024548	0.0007929062494477732	2.1075700842536347	2.504887850297296	16835.41126408749	0.9999511957660459
$\theta_j \ (deg)$	3.025247353210231	0.2872543707197142	0.002225640011163297	2.5551132407266195	3.4994712627479356	19386.874409130392	0.999982204972423
$\Delta\theta \ (deg)$	15.919016175829672	0.2840189913115093	0.002101191366800901	15.50003083205055	16.42172986943713	18145.935849644855	1.0001174180718402
$n \ (10^{-4}cm^{-3})$	1.0225461919967271	0.1008050129200611	0.000686469462827171	0.8169238654457289	1.2132563370148797	18802.001227751432	1.0000089221806447
$\epsilon_e \ (10^{-1}) $	1.01265524384946	0.10175077688310553	0.0006493295266688729	0.8050052362308903	1.2033136120350927	19395.911855405804	0.9999661911130873
$\epsilon_B\ (10^{-4})$	2.0051706463645065	0.10000287635126136	0.0008019803269797635	1.8093173764322914	2.201161415455008	16365.098400343451	1.0000391288098036
$E_{off} \ (10^{49}erg)$	2.99764160811696	0.10023869994530281	0.0007325652546724102	2.7967899015123496	3.187494023977934	17015.092677373068	0.9999425897302777
