	$\alpha_S$	$\theta_j \ (deg)$	$\epsilon_e \ (10^{-1}) $	$\Delta\theta \ (deg)$	$p$	$\tilde{E} \ (10^{49}erg)$	$\epsilon_B\ (10^{-4})$	$E_{off} \ (10^{49}erg)$	$n \ (10^{-4}cm^{-3})$
41	2.362055786163812	3.1257676951237006	0.9338607293063632	16.495141314337697	2.111663488384784	5.024136487398927	1.9764737674027175	2.9645424147917474	0.9948958600166556
42	2.4406698487638985	3.074990250412431	1.168308745840518	16.47696539059438	2.2606048082443264	4.85221135576227	2.0268671411380303	3.069953139902657	1.077317816311849
43	2.1700246530633076	3.175075188484611	1.0332181334782584	16.1197878363011	2.3111021065048756	5.067315112533592	1.9030979148073284	3.1376732258129936	0.9283950986313225
44	2.3082696946744075	3.274491969910883	1.0841113619255935	16.006525335957292	2.277176653407024	4.934081727432703	2.0555276783509027	2.847678175798815	1.053168392932481
45	2.1593951108358915	2.9174751641553103	0.9757732769307066	15.944955766420524	2.1486044659476806	5.1101135248072485	1.983294228707424	2.972062599512898	0.9981734574572938
46	2.385252238973104	3.0746401982078218	1.0392337997302972	15.63430036200612	2.311627482259137	4.799890963038559	1.9944453593821918	2.966471598882434	0.949316144332724
47	2.478944711725644	2.800659487795373	0.9918242020765363	16.280668687586246	2.3276001882355075	5.132307927653572	1.8912981578638648	3.055116510862071	1.2235894669392176
48	2.4209927343576334	2.6167276060999773	1.01447482833617	16.292430181958444	2.3334450872188706	5.082389289878172	1.9191488871811853	3.187148089774178	1.1941176426204165
49	2.310761372825354	3.3813923344691252	0.974770059642402	15.592781490943985	2.1700061822305488	5.074680927543775	2.035822035785027	2.890552030725723	0.9337909234913638
50	2.316271849063018	2.537176171069772	0.9614716340716901	15.75740879561428	2.098539250891286	5.022261169039942	1.990688286507647	3.125175817558402	0.9780174650628597
51	2.316271849063018	2.537176171069772	0.9614716340716901	15.75740879561428	2.098539250891286	5.022261169039942	1.990688286507647	3.125175817558402	0.9780174650628597
52	2.218199161717465	3.4721985973244713	0.8704748381084104	16.192807246766222	2.267853215341033	4.929937113195266	2.0375850423561745	2.951934292151312	0.9335511521869893
53	2.414803813831443	2.6026507405083583	1.1971270123156168	15.790836250370749	2.2603129434677083	5.0523061269444565	1.9327261202085597	3.083167809890279	1.0723784306936968
54	2.183643116563149	3.4210793547417992	0.7953103158783883	16.159184933943102	2.166796611027657	4.936896345073014	2.0695697915683136	2.93056626518677	0.9391559164513503
55	2.2637591006976527	3.454530448684963	0.9424213735093623	15.996169228422868	2.176212182891169	4.946471568430318	1.9971898594583566	3.058636120468818	1.0933220192418192
56	2.242368146158263	3.364515763132556	0.9059681546704832	16.184245548820137	2.2960343110844463	5.076394732637387	1.993704413581451	2.945278766370529	1.0749733079930055
57	2.391415707840766	2.947928924217803	1.0939196326234144	16.081156755338277	2.1962754996554703	5.003846096136604	1.9389736642603257	3.0076781486342514	1.216827523849834
58	2.2034305758677752	3.2035635823580693	0.8261986850294132	15.914742695120665	2.2646233581982584	4.929811560260893	2.0395762954785983	3.0247648600977906	0.9330595378728781
59	2.2276966402041936	3.1365565736106915	0.8413201116838073	15.540752488719138	2.299726582145556	4.775144655067653	1.9997298293136507	3.023149168018779	0.8391779720504164
60	2.1229981233071586	3.1786970812735937	0.7669192137401397	16.358792327460513	2.1475301487819705	4.998436929967818	2.0678767279877177	3.0046783238719295	1.276994162300979
61	2.476057318230328	2.685647011613785	0.9810090051626169	15.57754121578383	2.1597764591150903	5.066398703473645	1.95439587670814	2.9754147595797757	0.7221037786379716
62	2.123673896501302	3.1546362631991633	1.0197129577925625	16.490531936676177	2.2829815296436893	4.930761933753369	2.046635686659426	3.076680921268305	1.2671298955751342
63	2.347196092403121	3.260140191860841	1.0169015999258941	16.464108323348874	2.131535607174213	4.941715154519109	1.9506546440472272	3.0720387916459453	1.0770159786666298
64	2.393269270358144	2.9577737514452656	0.9451190525829124	15.713609253589134	2.3060200185263744	4.975828152344492	2.0011548021367718	2.908199492466103	1.005614815232965
65	2.22961559146385	3.4152552131244223	1.126757871294092	15.536568653588283	2.3295201519470075	5.159800012552254	1.9235350521849206	2.9010490377077685	0.9523675797040494
66	2.306446639240612	3.2162161890611585	0.8026050515630452	15.689442937373032	2.2860498730498824	5.069736844247549	2.024615294798458	3.023204260319079	1.1019833519818152
67	2.1527127395777854	2.6401496161903113	1.115589423102011	16.45662861931962	2.1073947738715066	4.955426611891088	1.9307545295944384	2.9211743315246594	0.8543309314668269
68	2.1507894777998278	2.807265423688335	1.1043883817767557	16.445522146070914	2.1693600945185763	4.9291400439879505	1.9333112100245453	2.9394050243114527	0.9013049895746592
69	2.2730957264055585	3.3035804432666804	0.9975302976025743	15.705589894506014	2.2169715059732127	4.999422730154539	1.9650726437312371	2.886125197402504	1.0101318651538298
70	2.3915079313693837	3.0575907730901815	0.9689153026898553	16.009639131060577	2.2442191897449013	4.775878450002661	2.0516726869802775	2.7072611909203594	0.9346246112966335
71	2.332822706882399	2.9423934121504653	0.8509699740734507	15.916803783168506	2.2489737875844367	4.8937608348745965	2.0285849577463333	2.802985540013275	0.9972447730257435
72	2.129027250316829	3.466582703942249	0.9866237700496866	16.192055720915864	2.365442321418508	4.994272727756908	1.9737560702162356	2.9572667180148366	1.0893981380127646
73	2.2255418179080326	3.4627248450220796	0.9894725337352657	15.893997759852356	2.215616896843461	4.979255910023317	2.093537689855251	3.2177629852711163	1.135002572051597
74	2.1548476738521836	2.6351303137186846	1.0749202652711691	15.638086596028103	2.364138937142206	4.917178949974725	1.9679704321288771	3.0770704344826227	1.0446640383755332
75	2.223918500283263	3.363944720025664	0.8423225643446576	16.364119636289423	2.0881140392331154	5.006122169734483	2.017341476759802	2.9895373444212683	0.9109383155742664
76	2.2661375270783437	2.7519908767692303	1.241051563204205	16.193114509854162	2.330143570983082	5.091554600371248	2.060221942519651	3.021278372914279	1.090889528887193
77	2.4039857517936047	2.5360691079574322	0.8307756535269548	16.189649411508917	2.1878919033920563	4.9774369022414575	2.089848651251554	3.1131203317419605	1.0976839721171685
78	2.1964887622678098	2.501148637399649	1.1721047655361658	15.879232847035691	2.258401214386401	5.020169776471585	1.9118726785303404	2.8589264446486995	0.9336491108909394
79	2.316521114317939	3.4833337242563367	0.9129185052074422	16.127522109043504	2.2271648170574827	5.12627450091948	1.8974540634940718	3.093484220868945	1.1127232445765958
80	2.27587596305074	3.4802640319731633	1.021051695629454	15.750380238385747	2.3102447304706706	5.064540444889626	1.9343740676933905	3.068052535427438	1.053600221868435
81	2.438044062721383	2.9459552615197904	0.9983884455982047	16.226403492045108	2.278531074613909	4.980002191954081	1.927467994236162	3.0639146361237035	1.0962807165941282
82	2.3518022236531335	2.570984320998117	1.0526461763479957	15.981766064676902	2.343620374253791	4.891640180476147	1.9069325459363113	3.2063481505484406	0.9864854091839514
83	2.265929817421111	3.4325320096275607	1.0649023690045756	15.563807727467596	2.332216718225124	5.1323925624073565	1.9373863432000056	3.039247377898055	0.9893226297497495
84	2.301341724071933	2.5199507051393746	1.243004651773272	15.606843784255533	2.2828164261647683	5.075255156610376	2.0107069712320067	2.865866618696657	1.1818739890521717
85	2.2276310626956666	3.050635687592912	0.8368194884310031	15.673411222981112	2.3938567039113323	4.917777523650501	2.060532102220296	2.896001603979897	1.009721677054688
86	2.2302604516843276	3.0809568195882475	0.8921336114026919	16.200454016806574	2.288341494148011	5.008749660953073	2.064476979792513	2.911661357255772	1.1229626703496096
87	2.0110049337441342	2.914431139187169	0.9841632262769332	15.860500922938149	2.2887694999805346	4.958490965984305	1.9850016041572176	2.97560938733948	0.9716420306045933
88	2.415235865733025	2.9453361362921684	0.8986204830785791	16.096120345923197	2.1453815778244523	4.9335657571597284	2.0918508667689952	2.894993875013558	0.9125480499799046
89	2.343213173307288	3.357354298681544	0.8113244316953343	15.734176180599832	2.314555392929125	4.9632647259826985	2.1206712821927507	2.9947354218800974	0.8939543054771991
90	2.341210736309802	2.5700716779204735	1.0395312749618266	15.792931287687226	2.207017338457082	4.924990227852561	1.947425351833903	2.901679516709418	1.1189927439445828
91	2.1360589990834353	2.9602155341820096	0.9799681535376439	15.734923135564987	2.315033793309858	5.022921795447925	2.019642027238126	3.108040642999487	1.0725974974000223
92	2.433397799088626	2.528583510496989	0.9560294948518194	15.670336455821438	2.0645322643594928	4.941913566143942	2.0764735524007896	2.9049089585245405	1.1338214928365429
93	2.189657729907384	2.5040638481326423	1.0222973668110527	15.763625541062414	2.18512672678894	4.870863694531267	2.051247809540855	3.0088462797465803	1.1184258655221841
94	2.01859722148425	2.5217215638477475	1.1093055431683916	15.596036544893332	2.2092815946132944	4.887283062930985	2.030911779693574	2.9201335812073825	1.0442984699146731
95	2.201392018235918	3.1685688295105146	1.1826493568748058	15.682599936452316	2.2048644534115596	5.047496865582796	1.955885536557648	3.164090863469749	1.139492849399563
96	2.283176636759303	3.2401568061613446	1.0197715568740735	15.658625219724973	2.1405470402778026	4.954008170981919	1.9634238288576562	3.1424962508762992	1.095449829060448
97	2.374661157068501	3.107285475233579	1.0030525639347843	15.60267530260331	2.13260166643073	5.039538470878623	2.039106511686669	3.046196460420548	0.9344849340492749
98	2.225724302709662	3.099460410976114	1.0160179304420929	16.377062357833992	2.2884908389107563	4.957956800840609	1.960938596720116	2.9426835501893125	1.112686523606568
99	2.2259099206006745	3.1905389441685736	1.0237920687215825	15.981833230628006	2.2223699026271944	4.947923836867118	1.9614903441394658	2.90869626146503	1.131825632038483
100	2.1718092445100394	3.3668215611625802	1.0875794460929855	15.55324496608707	2.281709430931628	4.967903949414959	2.041230012071714	2.9185072999516066	1.0150775010562239
101	2.308234754097635	3.3078729336983628	0.9484377013870317	16.4442769314363	2.2675990185389763	4.9553427532821805	1.9994780856975687	3.064341348309557	0.9952164091862911
102	2.187611467314485	3.3819550129339175	1.0666468575398562	16.369523159660982	2.41110926385759	4.992629173861072	2.115050939619972	3.0847388286244275	0.878705798455589
103	2.1964972935505673	3.4557932326411107	1.125825229796889	16.070529084466237	2.2193072255114688	5.040057841972694	2.1248565598942064	3.0323364694993566	1.0018894199131603
104	2.4024638341763023	2.5793560239612954	0.881966493419266	16.178622539382918	2.2894108353102163	4.968410764130918	1.8746536874669244	2.9725047038625316	0.9869761970652968
105	2.3578537304346243	2.6797884108371774	1.0785296823764494	16.173007941509468	2.279825305437943	4.864931847629956	1.9738987239098937	2.9083794158358547	1.0317504234765427
106	2.4686606850889263	2.7015305045441016	1.0903780628370154	16.417412118242794	2.1476121864551883	5.16497366616303	2.0421830146342668	2.971870994051502	0.9257385752229569
107	2.2995031606232965	3.4635799739919033	1.0510397248625793	15.530335011752362	2.2758990693687102	4.832101618187786	1.9474183640204343	2.9082297287762926	1.081523294391457
108	2.2779758262203873	3.379644467069588	1.184454180295124	15.514264593675694	2.1102890438446886	5.02299239058708	2.0782711840092145	2.9742637024936243	1.1364390297310338
109	2.3305019943000773	3.496645323864964	1.0600473407238689	16.467228582851014	2.1664254029484447	5.042121758995902	2.014254886968739	2.9025337201563284	1.120819504976769
110	2.322284293224646	2.5046433223483024	1.0377940124406533	15.570861985772643	2.3677918775054176	4.998502128530617	2.0321773787584414	3.187857484951756	0.9953443627394457
111	2.3710775237785335	3.2421268189444454	1.0045231669026609	16.22250711430696	2.2046163060581954	5.130405910048903	1.922984252612605	3.1105693197543505	0.9680848541483311
112	2.3973355164162014	2.871205865200426	0.8459442220925614	15.657617744342438	2.323535455033623	4.927690826208602	2.0232666332923612	2.915539724641995	0.9730023352347938
113	2.3983592803260887	2.828060879649415	0.9300387244679733	16.387633190511092	2.0550480936226942	4.814998842295147	2.0107501686804334	3.0090559963954417	0.9686091730649277
114	2.3441926046084904	2.77034617097602	0.9209891840896687	15.689039544902318	2.092612966476663	4.872352146758258	1.9317424073130143	2.945309941338013	0.9857666616898888
115	2.254712724251133	3.3841857044841337	1.010120662499551	16.11513011863917	2.298881733804278	5.094103263721415	2.0280054090771045	3.0209910403999434	1.0908347925541442
116	2.356637449072084	3.3844455983971136	0.9336070956568222	15.82171363308738	2.2592885607176574	5.192606302260419	1.971284477166602	3.0642376767904302	1.1193194666842552
117	2.356637449072084	3.3844455983971136	0.9336070956568222	15.82171363308738	2.2592885607176574	5.192606302260419	1.971284477166602	3.0642376767904302	1.1193194666842552
118	2.3954772847053696	2.8587262231699873	0.9126989182655473	15.506794131645824	2.08815213213248	5.0856367646436755	1.9072214492030077	2.978247930614642	1.1672507499310785
119	2.398256149693618	2.600638350241124	1.0032417769253497	15.866366721457117	2.18185240417303	5.1102190695525325	1.9575911480720631	3.044253742741773	1.0369210598900809
120	2.3656102669164043	2.6107494096961106	1.1272847521516203	15.784605514743948	2.2720460390480524	5.098197562205267	2.0705109940894673	2.9818487692357794	1.0281896091350045
121	2.257910617772062	3.2658110118336867	1.1272375789044395	16.076357043715937	2.1036723661345333	4.856197153634787	2.0952723779658395	3.0122300216810745	0.9181187146051433
122	2.2568595396636724	2.9437807824809337	1.1400930897660722	16.178043855875796	2.0575693851061283	4.8210853222633325	2.0916565247222776	3.022304345504881	0.9607848834191368
123	2.221260827788963	2.9521298218856273	0.7143092238978439	15.735166808459374	2.351360597765691	5.033909093436355	1.962806862764774	2.8826700390782265	1.0050382581572306
124	2.2076024257653746	2.708759675938122	0.9987423563456754	15.743860413684828	2.247476725971155	4.986854265209827	1.9930173768263282	2.855505559516414	1.0679967538800748
125	2.394908304202605	2.844137948559231	1.0149453780939888	16.26426378889117	2.114518582707107	5.040529348699242	2.007702263824392	3.015412960101128	0.9804257307443823
126	2.176482607514856	2.5042858106971684	0.9985274880584771	15.642506726017634	2.2145715413288243	5.053524756532446	2.126400641656445	2.9547712744993238	1.0721048782814646
127	2.422809689632176	3.492666792548672	1.0015400580260474	16.17841632201214	2.2935819947431155	4.948319594016979	1.8727397604415357	3.032059330341014	0.9488488468584896
128	2.413864376550159	2.7642612899534678	0.9876799742997334	16.131774469279534	2.1082535449050037	4.929077168540523	1.9055973124721275	2.9655042595136334	0.9704980973778793
129	2.3387794200759418	2.661747071386058	1.0222962803561644	16.168496118364782	2.3176366499876955	5.051629984931633	2.067228741165707	2.982899096966299	1.0424684067093726
130	2.3467915631360436	2.5105352997866417	1.170343978107824	15.77893807332294	2.3650197054353392	5.0120661206178285	2.0869475187972886	2.944020471098877	1.00100836055383
131	2.1753297779546004	3.428068598611457	0.8813906818067545	16.262265113466206	2.289523680926311	4.946263610013672	1.8397023724045125	3.0521705285694156	1.0052490639530074
132	2.3771839914959623	2.6322911646870844	1.1262115374259898	16.2218509666106	2.3366386560429193	5.045166943291278	2.14284424718198	3.0807115442829063	0.9741448331919891
133	2.296310782695904	2.633795146438163	1.1139373587346921	15.990937913572342	2.4112401819095335	5.011768161922744	1.9261606583066906	2.9905105705193757	1.1022994164449063
134	2.2166447095836	3.1710392820528854	0.9678377940436778	15.996434210278617	2.195114890762113	4.936176733173741	1.9366688561125422	3.091593363112726	0.8811036902572353
135	2.0644871004895955	3.1428057990046074	0.8841191653237533	16.108071213197952	2.300903370526398	4.99206946839732	2.0845972923556007	2.9709447088731213	0.8766706726198308
136	2.0637216338800197	2.8575246480869545	0.9475366492939403	15.765325894067685	2.1305114628640807	4.870203393851922	2.1038756609255813	3.057813122322644	0.7927558726624634
137	2.328893532191664	2.934440263385448	0.9413155283528354	16.313849674043524	2.1358377172879557	4.929316437491628	2.0284683146205746	3.003079584523936	1.1134171531954897
138	2.2415097507861677	2.9360350444898384	1.0273887698436668	15.904725812584902	2.2703974399680207	4.963832860744437	2.113753565886806	3.0648842664453304	1.0621828336676284
139	2.358171082447782	3.262406969831244	0.9837391140236131	15.77310422855593	2.1593087880796116	5.03471984771568	1.8892220928634458	2.9545028128381534	0.9254306779644015
140	2.1777255841060095	2.7454894190710797	1.006626708431673	16.16576198436885	2.215486675436006	4.916484161002894	2.1231753446192716	2.940379883400944	1.0466702406946147
141	2.179808923939945	3.0973674631321835	1.015775052277692	15.728643979087188	2.2759287237021186	4.920339109025213	2.1202266535967893	2.885504598683794	1.0668307043311185
142	2.4214953103802435	2.733050990441258	0.9883187098603328	16.12771129679865	2.252562028812366	5.084547900798187	1.8826403326543348	3.0838779161880234	0.9451419346034341
143	2.392064404814036	2.529424813772032	0.9699015617064481	16.452890591922404	2.2944467735764467	5.093701333918088	1.8094544686869019	3.193706080152185	1.0846570836193228
144	2.2425133405759237	3.4806423528391406	1.0025443207842815	15.56022002279172	2.4386536291346546	4.917840328891026	2.1555925273205045	2.977002973337018	0.9458414737563923
145	2.357963699757294	3.0018890037998984	1.0188506284101548	15.565664458872687	2.3320838911018695	5.026610929298727	2.0318210192776944	2.928688822929788	0.9587010110550332
146	2.312144351285023	2.680808941206804	0.9951930988533334	15.983676552381821	2.142559452663502	4.933827972105105	2.078009686857283	3.1264105824617783	1.0103389027098277
147	2.1951278083982593	3.0205173180863545	0.8845634602257223	15.688824681794324	2.234102213679272	4.968744384256637	1.9846633657290726	2.973300682002529	1.0128525158548802
148	2.2950939759586357	3.146906490185599	1.158206299245896	16.27678601771372	2.2881347893645376	5.157862177261852	1.852681959569123	3.084529442605054	1.0117184783993645
149	2.2782091896331726	3.3605608748472138	0.8927213927184339	16.306362447653193	2.160802417723087	4.804223121903105	2.0904552931331724	2.955205524179891	1.0060170178453363
150	2.2161423355247423	2.65458675152829	0.8630263192350134	15.637481592871493	2.1658381285040935	4.992171534125887	1.931356178017852	3.11477419049904	0.9428505295850174
151	2.335754319586305	2.94177127853329	1.0017198550253321	15.68073836098003	2.280920525110165	4.853805660669197	1.9637968928013187	2.9504651372462734	0.9695497143180615
152	2.3673959032995295	3.013902387682748	1.038622538332154	16.33470112320383	2.259610812647325	4.960717808680853	1.966684239362346	2.957766062590359	0.9095598093992503
153	2.3946978278686033	2.782466096421685	0.7582964191319131	15.848336519015552	2.2365874085477633	5.192267267658956	2.1968204636581765	2.9198436093436815	1.0593109832268413
154	2.146575511768516	3.1652344303525473	1.2882775627348675	16.048144063162123	2.19211415204595	4.826544250497551	2.030647581469104	3.0941783617289214	1.0250963625966028
155	2.5192846165967255	2.5776075747713563	1.0633326037399802	15.585189887397492	2.265157361210515	5.118422012492532	1.833834994825438	2.9731334678561336	1.0337913300070187
156	2.089544982072833	2.863582814461679	0.9124809893278338	15.70196957476793	2.2526496005953445	5.06044208186218	2.04640266708442	3.0346552173889365	0.7870966694088618
157	2.2221856200870027	2.526650023296889	0.9141092249878415	15.988865350830412	2.2433287606811936	5.0581604027274345	1.9279324138313718	2.9463319071820218	1.0471555210463501
158	2.188386531041755	3.2355414557110107	0.9424757560536615	15.864111800674083	2.2987549131306335	5.035849640748848	2.0032197953304003	2.992772788674706	0.9744448464337545
159	2.3859273461938932	3.1122034663090075	0.9526512269085219	16.455914890187735	2.380886810944646	4.992480632531921	2.1317537435985576	2.765485728806239	0.967182014645146
160	2.213216997856674	2.916121679100628	1.0548405258956786	15.531811101478963	2.0994626927520663	5.015273735745948	1.8704860108318904	3.246030379184711	1.0126027613854063
161	2.2596064944007073	2.530462646030935	0.8710404578507963	15.687517703057852	2.2960592379868268	5.015354577581651	1.8569178305312188	3.0335907066971677	0.9715968542426133
162	2.2362949654237	2.5446367826016285	1.0019944758433441	16.172268716418973	2.2419217788266175	5.076371506439051	1.9883909521250136	3.0350972145052624	0.9400360563402743
163	2.373162427114339	3.2373233890891915	0.9586045278112502	16.444194585233657	2.2346129584597585	4.972406102744046	1.968168311399745	2.9731675233669734	1.0521519481257127
164	2.2273343198687905	2.9763552461952285	1.0451205910895578	15.556972446097982	2.2192222502952395	5.029638661011045	2.0359106482372296	3.0372075926644064	0.939524392058846
165	2.3056841469590994	3.170507818163166	0.8547529505313447	16.44467505207588	2.1621670995909446	5.1410536639360656	1.903689710084558	2.6898103215309104	1.0612511945008065
166	2.294385180504132	2.810206168616229	1.1580586321480846	15.549236466723704	2.2690798245893333	4.8593371467707245	2.09765213690412	3.2583336856308365	0.9883673355699811
167	2.245361399850521	2.7633101585307496	1.0031962992599404	16.073734416447447	2.159058966838979	5.066145798241704	2.0030252844426863	2.87229376134288	0.9315271450795387
168	2.3013675264044338	3.2671787259403446	1.0012600629129509	16.296627771854943	2.428203938816759	4.924089929237373	2.042655495812803	3.0450236138919435	1.0010753264647956
169	2.29777969014606	2.8726419840012114	0.9997250673626435	15.610769349620314	2.04244016150357	5.080754873126984	1.9636373117337316	2.9296274180921342	1.0138081362425342
170	2.3504454405341053	2.789910460350458	1.1198381879285306	16.3963680042657	2.315624623281868	4.861502073857072	2.0101232595802787	3.016141780663384	0.994987283132455
171	2.208812471520314	2.7336517135578995	1.0790959385735241	16.245843639457526	2.406741035466287	5.087984051123362	1.9504007861470012	2.965021823627059	0.9318349499328249
