	mean	sd	mc_error	hpd_2.5	hpd_97.5	n_eff	Rhat
$\alpha_S$	2.2982509746063213	0.09946447584506046	0.0006732689340569445	2.09883573300778	2.488103112671206	17915.757115292086	0.9999461602192579
$\theta_j \ (deg)$	3.0071750204325522	0.2899912048971842	0.002509029046645283	2.5504890218844913	3.497107134802188	15551.523839238056	1.0000719070009607
$\epsilon_e \ (10^{-1}) $	1.002735643601898	0.10061642109746535	0.0007875427529113514	0.8061132081888474	1.1987296769093616	17061.93736239734	0.9999359156089032
$\Delta\theta \ (deg)$	15.97888338582227	0.2892287011454458	0.0026037894654163023	15.509836950921681	16.456760100543786	16108.397731346211	1.0000401322906045
$p$	2.234023589435811	0.1022574589611757	0.0008751622718708897	2.044248914142766	2.444344254700054	10290.560351973816	0.9999847164535021
$\tilde{E} \ (10^{49}erg)$	4.999862223135924	0.1003225487012006	0.0008391992032176418	4.803757912135222	5.197562861898362	15703.702399140971	0.9999325006053652
$\epsilon_B\ (10^{-4})$	2.0010484131636934	0.09875955169237884	0.0007869182978883614	1.8000144315376836	2.186979270468273	16239.197523389848	0.9999299441622012
$E_{off} \ (10^{49}erg)$	3.0010807932720995	0.10016145229705975	0.0008555126145371168	2.7977506579960965	3.192721220449612	16983.65763037928	1.0000513972368807
$n \ (10^{-4}cm^{-3})$	1.0048087244027273	0.10135238709936961	0.0007716133215812793	0.8064870241245005	1.2018008240545905	16966.923331291895	0.9999552915717482
