	mean	sd	mc_error	hpd_2.5	hpd_97.5	n_eff	Rhat
$\epsilon_B\ (10^{-4})$	2.0032116543234504	0.09953893645464622	0.0008491339703959372	1.8128388424237953	2.2061903954246134	14899.818966301551	1.0000774189816912
$\Delta\theta \ (deg)$	15.922390735655485	0.2821108243081684	0.0020174532637691916	15.500528817506165	16.42320593214378	15820.630613890837	0.9999909063989131
$\epsilon_e \ (10^{-1}) $	1.0103043372798466	0.0994158843053181	0.0008658915505936558	0.8127762013899973	1.2003737357315292	13409.758921410625	1.0000271364409397
$n \ (10^{-4}cm^{-3})$	1.0197863060903698	0.09687229942788211	0.0008410381231390258	0.8345023385830179	1.2140349255409268	10840.086234890081	0.9999544373719877
$\theta_j \ (deg)$	3.0184461965188776	0.28628666216452786	0.002453888736667219	2.558477022693918	3.4999082313709904	15643.526358359324	1.0003919842642988
$E_{off} \ (10^{49}erg)$	2.9990979522839294	0.10023350232461484	0.0009417010821593646	2.796644829602511	3.1900819682066714	13079.98316854695	1.00008752476737
$p$	2.199982636981925	0.09025822080286859	0.001327537195403613	2.030885904692076	2.384731263542913	4484.2249721541675	0.9999304508970122
$\tilde{E} \ (10^{49}erg)$	5.000133843463043	0.09924498016914128	0.0008638554041290294	4.806186677010524	5.196370148654538	13839.78319737048	0.999977524557661
$\alpha_S$	2.3012146676119536	0.10148610218474229	0.0008230280955192834	2.1062681075407657	2.5047528956376435	14577.801883096026	0.999943864496464
