16.9636 	111.416 	16.9636 	16.9636 	147.575 	75.4978 	
17.5484 	91.7152 	17.5484 	17.5484 	113.851 	67.762 	
18.8021 	85.9552 	18.8021 	18.8021 	109.033 	64.8943 	
22.7853 	135.349 	22.7853 	22.7853 	154.097 	116.34 	
24.8577 	154.097 	24.8577 	24.8577 	171.689 	135.349 	
32.2627 	204.108 	32.2627 	32.2627 	227.409 	183.194 	
48.0903 	264.567 	48.0903 	48.0903 	288.466 	242.648 	
56.217 	288.466 	56.217 	56.217 	328.422 	253.37 	
59.2669 	365.915 	59.2669 	59.2669 	425.704 	314.523 	
96.291 	425.704 	96.291 	96.291 	464.159 	382.085 	
118.689 	614.798 	118.689 	118.689 	684.985 	563.863 	
118.554 	454.231 	118.554 	118.554 	563.863 	342.935 	
167.757 	576.187 	167.757 	167.757 	699.955 	484.67 	
169.236 	595.179 	169.236 	169.236 	699.955 	484.67 	
224.872 	407.689 	224.872 	224.872 	540.001 	282.296 	
267.16 	328.422 	267.16 	267.16 	407.689 	258.908
