10.5245 	7.96908 	10.5245 	10.5245 	10.5554 	5.28451 	
16.8769 	28.5364 	16.8769 	16.8769 	34.6662 	23.4905 	
19.6921 	18.9232 	19.6921 	19.6921 	25.0646 	13.103 	
19.6809 	16.2655 	19.6809 	19.6809 	21.5443 	10.7861 	
21.821 	13.682 	21.821 	21.821 	16.621 	10.7861 	
23.8386 	22.4964 	23.8386 	23.8386 	26.1722 	19.3368 	
40.0984 	26.7442 	40.0984 	40.0984 	33.1991 	20.6326 	
54.7959 	31.7942 	54.7959 	54.7959 	36.1981 	27.926 	
68.7048 	43.0331 	68.7048 	68.7048 	46.9204 	38.6238 	
81.6513 	37.7976 	81.6513 	81.6513 	41.212 	33.1991 	
115.651 	62.148 	115.651 	115.651 	69.243 	55.78 	
166.467 	73.883 	166.467 	166.467 	84.1168 	63.5063 	
166.426 	69.243 	166.426 	166.426 	75.4978 	59.5179 	
222.889 	38.6238 	222.889 	222.889 	46.9204 	29.7974
